sample	cluster	domain	phylum	class	order	family	genus	species
MGYG000001444	1	d__Bacteria	p__Firmicutes_C	c__Negativicutes	o__Veillonellales	f__Veillonellaceae	g__Veillonella	s__Veillonella atypica
MGYG000001445	1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Cedecea	s__Cedecea davisae
MGYG000001446	2	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Propionibacteriales	f__Propionibacteriaceae	g__Cutibacterium	s__Cutibacterium avidum
MGYG000001451	1	d__Bacteria	p__Firmicutes	c__Bacilli	o__Paenibacillales	f__Paenibacillaceae	g__Paenibacillus_A	s__Paenibacillus_A antibioticophila
MGYG000001458	1	d__Bacteria	p__Fusobacteriota	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	g__Cetobacterium_A	s__Cetobacterium_A somerae
MGYG000001459	1	d__Bacteria	p__Fusobacteriota	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	g__Fusobacterium	s__Fusobacterium nucleatum
MGYG000001460	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Peptostreptococcales	f__Peptostreptococcaceae	g__Romboutsia	s__Romboutsia dakarensis
MGYG000001464	1	d__Bacteria	p__Fusobacteriota	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	g__Fusobacterium	s__Fusobacterium polymorphum
MGYG000001465	1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Providencia	s__Providencia alcalifaciens_A
MGYG000001466	1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Providencia	s__Providencia alcalifaciens
MGYG000001471	3	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Bifidobacteriaceae	g__Bifidobacterium	s__Bifidobacterium gallicum
MGYG000001473	2	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Tissierellales	f__Sporanaerobacteraceae	g__Anaerosalibacter	s__Anaerosalibacter massiliensis
MGYG000001474	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium_J	s__Clostridium_J sp000821305
MGYG000001477	2	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium_L	s__Clostridium_L amazonitimonense
MGYG000001478	3	d__Bacteria	p__Actinobacteriota	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	s__Collinsella sp000763055
MGYG000001479	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium_AA	s__Clostridium_AA polynesiense
MGYG000001487	1	d__Bacteria	p__Firmicutes	c__Bacilli	o__Erysipelotrichales	f__Erysipelatoclostridiaceae	g__Beduini	s__Beduini massiliensis
MGYG000001490	3	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Bifidobacteriaceae	g__Bifidobacterium	s__Bifidobacterium catenulatum
MGYG000001492	1	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus_C	s__Enterococcus_C massiliensis
MGYG000001494	1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Mesosutterella	s__Mesosutterella massiliensis
MGYG000001497	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium_F	s__Clostridium_F niameyense
MGYG000001498	1	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_B	f__DSM-1321	g__Bacillus_BN	s__Bacillus_BN testis
MGYG000001504	2	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Tissierellales	f__Tepidimicrobiaceae	g__Mt11	s__Mt11 sp001282665
MGYG000001507	1	d__Bacteria	p__Firmicutes	c__Bacilli	o__Paenibacillales	f__Paenibacillaceae	g__Paenibacillus	s__Paenibacillus ihuae
MGYG000001509	1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Actinomycetaceae	g__Flaviflexus	s__Flaviflexus massiliensis
MGYG000001510	1	d__Bacteria	p__Firmicutes	c__Bacilli	o__Thermoactinomycetales	f__Novibacillaceae	g__Numidum	s__Numidum massiliense
MGYG000001513	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium_P	s__Clostridium_P massiliamazoniense
MGYG000001514	1	d__Bacteria	p__Firmicutes	c__Bacilli	o__Paenibacillales	f__Paenibacillaceae	g__Paenibacillus_A	s__Paenibacillus_A ihumii
MGYG000001515	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Tissierellales	f__Peptoniphilaceae	g__Lagierella	s__Lagierella massiliensis
